,temperature,humidity,sensation,comfort,skin,clothing
0,17.4,37.9,-1,0,28.5,21.7
2,17.3,40.2,-1,0,29.2,22.4
4,23.5,35.2,1,-1,31.0,26.9
6,26.8,33.1,2,-2,32.8,27.8
8,26.9,31.4,2,-2,32.3,28.4
10,27.8,32.1,2,-2,33.6,28.7
12,28.7,30.4,2,-2,34.0,29.7
14,29.3,29.6,2,-2,34.8,30.7
16,28.1,30.8,0,0,33.7,29.2
18,25.3,33.1,0,1,34.0,28.2
20,24.0,34.4,0,1,32.7,26.5
22,22.6,32.7,0,1,32.2,25.1
24,22.2,27.6,0,0,32.0,25.0
26,22.5,26.8,0,0,32.2,24.7
28,22.4,27.2,0,0,32.1,25.3
30,22.5,28.3,0,1,32.4,25.6
32,22.7,30.0,0,1,32.0,26.1
34,26.6,28.3,1,-1,33.6,28.6
36,29.6,26.3,3,-3,34.1,30.4
38,28.0,26.9,2,-2,34.0,29.0
40,26.9,28.1,1,-1,34.2,28.8
42,26.5,28.6,1,-1,33.6,28.5
44,26.2,29.0,1,-1,34.0,28.4
46,26.0,25.0,0,0,33.5,28.2
48,25.2,24.0,0,0,33.6,26.9
50,25.0,22.4,0,0,33.4,26.9
52,24.6,25.0,0,0,33.4,26.6
54,24.3,26.1,0,0,32.8,25.9
57,19.3,34.5,0,1,30.8,23.1
59,19.2,34.9,0,1,31.2,22.9
61,19.1,35.3,0,1,30.0,22.5
63,19.9,35.1,0,1,30.4,24.0
65,21.5,34.2,0,0,31.4,25.0
67,23.1,32.3,0,0,33.0,26.5
69,23.7,31.7,1,-1,32.0,25.9
71,25.2,30.8,1,-1,32.5,26.9
73,26.1,29.9,1,-2,32.7,27.1
76,27.5,29.0,2,-2,34.3,29.3
78,27.6,29.1,3,-3,34.1,29.6
80,28.2,29.5,3,-3,34.1,29.8
82,26.1,30.4,2,-2,33.0,28.8
84,24.9,32.3,1,-1,34.1,28.7
86,22.5,32.4,1,-1,32.0,25.6
88,20.9,32.2,0,0,31.4,25.0
90,17.7,40.5,0,0,28.8,24.1
92,19.6,39.5,0,1,29.8,23.8
94,20.6,38.6,0,1,30.2,23.9
96,23.8,34.4,0,0,31.7,26.5
98,26.4,31.5,0,0,32.5,27.7
100,27.8,30.2,1,-1,33.3,28.5
102,28.9,29.5,2,-2,33.6,28.8
104,27.6,30.0,1,-1,33.4,27.1
109,20.7,36.1,0,1,30.5,25.1
111,22.0,36.5,0,0,31.5,26.0
113,23.6,34.7,0,0,32.2,27.3
115,26.6,31.4,1,-1,33.3,28.9
117,27.7,30.7,2,-2,33.9,29.8
119,28.1,30.0,2,-2,33.8,30.0
122,25.0,32.6,0,0,33.9,28.2
124,24.4,31.4,0,0,34.5,29.0
126,19.2,51.3,0,1,29.8,23.9
128,19.4,51.3,0,1,30.1,24.2
129,20.2,49.6,0,1,30.7,24.2
131,21.9,45.0,0,1,31.6,25.4
133,22.3,44.3,0,1,32.0,25.8
135,23.4,43.0,0,0,32.7,26.0
137,25.3,39.5,0,0,32.4,28.2
139,26.7,39.1,1,-1,33.7,29.3
141,27.4,36.9,1,-1,33.8,29.1
143,28.3,35.9,2,-2,34.3,30.0
145,28.9,36.0,2,-2,34.2,29.9
147,27.5,37.1,1,-1,33.7,29.7
149,26.1,38.8,0,0,33.5,28.0
151,24.7,41.0,0,0,32.7,27.2
155,29.6,34.0,1,-1,33.8,30.0
158,25.9,38.7,0,0,34.6,29.6
160,25.6,39.5,0,0,32.9,29.8
162,24.0,38.6,0,0,32.8,28.4
164,24.6,42.1,0,0,32.8,29.3
166,24.7,39.3,0,0,33.0,28.3
170,21.0,35.1,-2,-2,31.5,25.4
172,19.8,35.9,-2,-2,32.0,26.5
174,18.7,36.1,-3,-3,31.2,26.0
177,21.0,61.2,0,0,31.2,24.5
180,21.3,59.7,0,0,32.0,26.5
183,24.7,54.1,0,0,33.1,27.1
186,26.8,49.8,1,-1,34.3,28.4
188,28.4,46.9,1,-1,34.5,30.2
190,29.2,44.7,1,-1,34.6,29.7
192,30.0,42.4,2,-2,34.9,31.2
194,30.6,40.5,2,-2,35.1,31.1
196,29.9,41.1,1,-1,34.7,30.1
198,27.9,43.7,0,0,34.3,29.7
199,27.1,45.3,0,0,34.0,28.3
201,26.5,45.7,0,0,35.0,28.7
202,17.3,43.4,-2,-2,29.3,22.3
204,16.6,41.6,-2,-2,29.0,21.7
206,15.7,41.1,-2,-2,28.2,20.0
208,17.9,48.6,-1,-1,30.4,24.9
210,19.0,51.7,-1,-1,29.7,23.7
212,19.0,54.8,-1,-1,29.6,24.4
214,19.8,54.5,0,0,31.0,25.0
216,20.1,54.1,0,0,30.7,26.4
218,20.4,54.2,0,0,30.5,24.4
220,20.5,54.5,0,0,30.9,26.3
222,20.5,53.8,0,1,31.1,23.5
224,21.0,53.5,0,1,32.0,25.1
226,22.3,50.6,0,0,32.3,27.1
228,23.5,48.0,0,0,32.8,27.1
230,25.0,46.0,1,-1,33.0,27.5
232,25.7,45.0,1,-1,34.3,29.6
234,27.1,42.3,2,-2,34.0,30.0
236,28.0,41.8,2,-2,34.6,30.6
238,28.7,40.3,2,-2,34.5,29.9
240,29.1,40.0,3,-3,34.8,30.5
242,28.2,40.6,2,-2,33.4,30.2
244,26.7,43.4,1,-1,34.3,29.9
246,25.7,45.0,1,-1,33.4,28.7
252,22.7,63.3,0,-1,32.6,28.0
254,26.5,55.0,1,-1,33.5,30.1
257,28.9,52.0,1,-2,33.9,29.4
259,29.8,48.8,2,-2,34.9,31.6
260,30.3,47.1,2,-3,34.7,31.9
262,28.6,50.3,3,-2,34.1,30.9
264,27.7,52.0,2,-2,34.9,30.7
266,27.2,52.5,2,-1,34.2,29.8
268,25.4,55.6,1,0,33.2,29.1
270,24.4,57.4,0,0,33.2,28.6
272,23.7,55.9,0,0,31.9,26.1
274,20.9,58.6,0,0,30.4,25.8
278,18.5,52.3,-1,-1,29.6,23.1
280,18.7,53.8,-2,-2,29.6,24.2
283,19.6,71.6,-1,-1,29.8,25.4
285,19.9,71.3,-1,-1,30.0,25.6
287,22.3,63.2,-1,-1,31.4,27.0
289,23.8,59.2,0,1,32.1,28.0
291,24.5,57.5,0,0,32.7,28.8
293,26.1,54.8,1,-1,33.7,30.1
295,26.8,53.8,2,-2,33.1,29.2
297,28.8,49.8,2,-2,33.6,31.7
299,29.5,48.0,2,-2,34.2,31.2
301,28.3,51.4,1,-1,34.0,30.3
303,26.7,52.0,1,-1,35.1,30.2
305,24.9,55.9,0,0,32.8,27.9
308,21.5,62.0,0,1,31.1,26.5
310,21.6,62.0,0,1,31.1,26.5
312,23.0,59.2,0,0,31.7,27.0
314,24.8,56.7,0,0,32.4,27.8
318,27.2,51.7,1,-1,33.6,29.4
322,29.5,48.2,3,-3,34.4,31.2
324,29.4,48.5,3,-3,34.9,31.7
326,28.7,50.0,3,-3,34.8,31.1
328,27.4,52.0,2,-2,34.3,30.1
330,26.0,53.6,1,-1,34.4,29.4
332,25.0,55.5,1,-1,33.9,27.7
334,22.6,57.1,0,1,31.8,26.3
337,22.5,64.9,0,1,32.5,26.9
339,20.6,56.1,-1,-1,31.2,25.2
341,18.7,52.5,-1,-1,30.1,25.0
343,16.1,47.1,0,0,27.5,18.3
344,15.7,50.8,-1,-1,28.3,19.3
345,14.4,53.4,-2,-2,27.1,18.8
346,15.0,54.6,-2,-2,27.8,20.8
347,15.6,55.7,-2,-2,26.1,20.5
348,16.1,54.1,-2,-2,28.4,22.1
349,16.5,53.2,-1,-1,27.8,21.6
350,16.6,52.0,-1,-1,28.5,22.4
355,21.3,47.7,0,-1,31.0,24.1
356,22.5,45.1,0,0,32.1,26.1
357,23.0,40.9,0,0,32.9,6.2
358,24.5,40.1,0,0,33.5,26.7
361,26.2,36.2,2,-2,33.6,27.4
